arbol,DAP,EDAD,SP
1,27.4,59,arizonica
2,19.5,29,arizonica
3,20,24,arizonica
4,22,40,arizonica
5,34,50,arizonica
6,33.1,44,arizonica
7,32,44,arizonica
8,10,17,arizonica
9,14,15,arizonica
10,11,16,arizonica
11,21.6,23,arizonica
12,11.2,14,arizonica
13,8,18,arizonica
14,22.1,22,arizonica
15,10,20,arizonica
16,16.8,20,arizonica
17,17.9,22,arizonica
18,26.1,40,arizonica
19,7.7,15,arizonica
20,11.3,25,arizonica
21,13.5,26,arizonica
22,10.7,28,arizonica
23,17,34,arizonica
24,20,33,arizonica
25,24.7,46,arizonica
26,21.9,42,arizonica
27,25.2,39,arizonica
28,28.9,43,arizonica
29,29.2,44,arizonica
30,12.6,29,arizonica
31,16.8,82,durangensis
32,25.9,32,durangensis
33,43.7,125,durangensis
34,41.2,103,durangensis
35,24.2,45,durangensis
36,37.1,108,durangensis
37,35.5,58,durangensis
38,45.6,75,durangensis
39,38,89,durangensis
40,21.9,40,durangensis
41,18.5,36,durangensis
42,22.3,59,durangensis
43,16.1,56,durangensis
44,17.6,34,durangensis
45,24.8,57,durangensis
46,16.1,41,durangensis
47,15.2,38,durangensis
48,25.8,63,durangensis
49,23.2,42,durangensis
50,32,106,durangensis
51,33.2,82,durangensis
52,27.1,60,durangensis
53,16,37,durangensis
54,29.7,69,durangensis
55,39.2,128,durangensis
56,35.5,113,durangensis
57,24.8,54,durangensis
58,21.1,55,durangensis
59,25.7,32,durangensis
60,21.3,42,durangensis
